D,m,k,B,seed,method,overall_sign,band_sign,band_spearman
2,2,1,512,1,random,0.99365,0.9494225408203902,0.9879569084497267
2,2,1,512,1,adaptive,0.99765,0.9812823576264437,0.998337579830061
2,2,1,512,2,sobol,0.995,0.960015993602559,0.9981946413760636
2,2,1,512,2,random,0.99675,0.9740103958416634,0.9981741795368185
2,2,1,512,2,adaptive,0.9976,0.9808076769292283,0.9985232144072829
2,2,3,64,0,sobol,0.97935,0.9072118625028084,0.9202100289214148
2,2,3,64,0,random,0.9687,0.8593574477645473,0.8840238063677847
2,2,3,64,0,adaptive,0.9889,0.9501235677375871,0.9772460230324694
2,2,1,512,3,sobol,0.99695,0.9758797943851325,0.9965247302502263
2,2,1,512,3,random,0.99415,0.9537366548042705,0.992812731893762
2,2,1,512,3,adaptive,0.99775,0.9822064056939501,0.9986423448373116
2,2,3,64,1,sobol,0.98575,0.9270353302611367,0.9502546865101081
2,2,3,64,1,random,0.98195,0.9075780849974399,0.9299329229095431
2,2,3,64,1,adaptive,0.99085,0.9531490015360983,0.9756963885054671
2,2,3,64,2,sobol,0.9903,0.9517172722747635,0.9748746807600293
2,2,3,64,2,random,0.9828,0.9143852663016426,0.9208593533299734
2,2,3,64,2,adaptive,0.99165,0.9584370333499254,0.9781899668378815
2,2,3,64,3,sobol,0.98845,0.9405099150141643,0.9644750736754992
2,2,3,64,3,random,0.97765,0.8848828225598764,0.9321783053350186
2,2,3,64,3,adaptive,0.9904,0.9505536955961885,0.9753380557960695
2,2,3,64,4,sobol,0.99005,0.9550485656200587,0.9757952920864488
2,2,3,64,4,random,0.9869,0.940817709509826,0.966466099813629
2,2,3,64,4,adaptive,0.99225,0.9649875762367291,0.9913198281631519
2,2,3,128,0,sobol,0.98775,0.94495618962031,0.9627999449320689
2,2,3,128,0,random,0.9778,0.9002471354751741,0.9282225109132752
2,2,3,128,0,adaptive,0.99245,0.9660750393170074,0.9917570223945122
2,2,1,512,4,sobol,0.99795,0.9835868694955965,0.9983988213647349
2,2,1,512,4,random,0.99645,0.9715772618094476,0.9972740012797825
2,2,1,512,4,adaptive,0.9949,0.9591673338670936,0.9983984033382068
2,2,3,128,1,sobol,0.98975,0.9475166410650282,0.9737397923020089
2,2,3,128,1,random,0.9916,0.956989247311828,0.976126918315446
2,2,3,128,1,adaptive,0.9941,0.9697900665642601,0.9910912774916817
2,2,3,128,2,sobol,0.99145,0.9574415131906421,0.9738168124033314
2,2,3,128,2,random,0.98755,0.9380288700846192,0.966987494951041
2,2,3,128,2,adaptive,0.9945,0.9726231956197113,0.9918478218188338
2,2,3,128,4,sobol,0.9925,0.9661170092613508,0.9871233522007128
2,2,3,128,4,random,0.9926,0.9665687824711995,0.9889958504619308
