dataset,d,seed,sampler,score_fid,attr_cosine,attr_top1,attr_top3_jac,attr_rank,decision_f1
29_Pima,8,6,uniform_shell,0.7485915312955292,0.920467540259133,0.376865671641791,0.4358208955223881,0.3645167022032694,0.5614035087719298
29_Pima,8,6,disagreement_shell,0.5968740317459524,0.9139560984393543,0.373134328358209,0.4324626865671642,0.3503020611229567,0.4858757062146893
29_Pima,8,6,shell_box_mix,0.5695799437298282,0.9179994773996647,0.3880597014925373,0.41268656716417906,0.34692608386638246,0.45714285714285713
29_Pima,8,5,normals_only,0.22896024867101775,0.8400203439290582,0.23507462686567165,0.36902985074626865,0.22759752395759295,0.2875816993464052
29_Pima,8,5,uniform_shell,0.6704167645960497,0.9287108181071274,0.3917910447761194,0.4701492537313433,0.4597547974413647,0.5851063829787234
29_Pima,8,5,disagreement_shell,0.6824918471840288,0.9230722985817893,0.3582089552238806,0.44776119402985076,0.40111940298507465,0.4880952380952381
29_Pima,8,5,shell_box_mix,0.6572980716899193,0.9242815991482107,0.40671641791044777,0.45410447761194034,0.4073383084577115,0.5202312138728323
40_vowels,12,1,normals_only,0.1462465779741607,0.8346925861207961,0.08,0.16799999999999998,0.014118764665455768,0.3652173913043478
40_vowels,12,1,uniform_shell,0.5649584554056001,0.9479503811796721,0.18,0.336,0.3751048951048952,0.6493506493506493
40_vowels,12,1,disagreement_shell,0.41155564093943614,0.9458483554439272,0.22,0.366,0.4465734265734266,0.5555555555555556
40_vowels,12,1,shell_box_mix,0.47264780750204116,0.9462314248152155,0.26,0.37,0.36391608391608393,0.4732824427480916
40_vowels,12,0,normals_only,0.3133855242303443,0.8786019910483382,0.08,0.204,0.15077315323015125,0.3076923076923077
40_vowels,12,0,uniform_shell,0.6628404015176984,0.9478362285618336,0.46,0.39,0.3218181818181819,0.6415094339622641
40_vowels,12,0,disagreement_shell,0.45314826377215306,0.9474911584038549,0.4,0.32599999999999996,0.28699300699300706,0.5432098765432098
40_vowels,12,0,shell_box_mix,0.680803035396955,0.9525362832942662,0.32,0.322,0.3920279720279721,0.5419354838709678
12_fault,27,8,normals_only,0.3811398223867746,0.8698788459531569,0.07429420505200594,0.11396731054977711,0.10943200858725814,0.3515981735159817
12_fault,27,8,uniform_shell,0.6895412797373657,0.9058382637163538,0.12035661218424963,0.13462109955423476,0.08405132922220589,0.5208333333333334
12_fault,27,8,disagreement_shell,0.6327223535169598,0.9036860744314226,0.09658246656760773,0.11991084695393757,0.0745273382717662,0.5432595573440644
12_fault,27,8,shell_box_mix,0.5113768709762555,0.9000275722213968,0.08320950965824665,0.09762258543833581,0.06076119695819484,0.44680851063829785
12_fault,27,1,normals_only,0.39512860393031773,0.8692426541106999,0.08766716196136701,0.13833580980683505,0.22874691386775475,0.31607629427792916
12_fault,27,1,uniform_shell,0.49557892003499615,0.8960145582642505,0.09955423476968796,0.11872213967310548,0.1769644421947542,0.47804878048780486
12_fault,27,1,disagreement_shell,0.5977110912839261,0.8886766294750092,0.0713224368499257,0.11069836552748885,0.11131884460264846,0.4834123222748815
12_fault,27,1,shell_box_mix,0.5749422322400947,0.8881621351700906,0.0950965824665676,0.11916790490341751,0.13766554555706773,0.5562632696390658
12_fault,27,0,normals_only,0.18960367710648793,0.8686878317411321,0.07280832095096583,0.1488855869242199,0.193494899996944,0.16172506738544473
12_fault,27,0,uniform_shell,0.6018431356122769,0.8973417586782523,0.0475482912332838,0.12956909361069838,0.1307142585002912,0.5473684210526316
12_fault,27,0,disagreement_shell,0.612232435357113,0.8954983772123098,0.07280832095096583,0.13254086181277858,0.10456705256110901,0.519650655021834
12_fault,27,0,shell_box_mix,0.37748187996147664,0.8972626377678088,0.08172362555720654,0.13595839524517087,0.09814226828535061,0.386046511627907
20_letter,32,2,normals_only,0.039531953195319526,0.8624378428390255,0.06,0.07400000000000001,0.033418538546182895,0.25
20_letter,32,2,uniform_shell,0.4986378637863786,0.9168938359747034,0.05,0.06000000000000001,0.05360337243401759,0.40875912408759124
20_letter,32,2,disagreement_shell,0.568148814881488,0.9149251339103176,0.01,0.076,0.006249999999999998,0.3898916967509025
20_letter,32,2,shell_box_mix,0.5287248724872486,0.9089910153652714,0.04,0.078,0.03166534149886798,0.46853146853146854
20_letter,32,3,normals_only,-0.19638763876387635,0.8724756541009959,0.02,0.05600000000000001,0.03153468029759856,0.17054263565891473
20_letter,32,3,uniform_shell,0.4332433243324332,0.9233047702892605,0.04,0.07200000000000001,0.007760263929618771,0.35986159169550175
20_letter,32,3,disagreement_shell,0.2978217821782178,0.9120584695332319,0.04,0.06,0.0037768226515563757,0.34385964912280703
20_letter,32,3,shell_box_mix,0.42436243624362435,0.9173395311004623,0.08,0.09399999999999999,0.02172287390029325,0.34507042253521125
12_fault,27,3,normals_only,0.1835253860054787,0.8674762636843742,0.05794947994056464,0.12719167904903417,0.15747996201904965,0.2956521739130435
12_fault,27,3,uniform_shell,0.6171283652062508,0.9022835758762215,0.05794947994056464,0.10460624071322436,0.11773953304413927,0.41649484536082476
12_fault,27,3,disagreement_shell,0.667183101674407,0.8976126379136808,0.0549777117384844,0.10326894502228826,0.09458858790210943,0.43243243243243246
12_fault,27,3,shell_box_mix,0.3572554479792543,0.8958882429244912,0.09063893016344725,0.11144130757800892,0.08933580825762515,0.375
20_letter,32,6,normals_only,-0.024758475847584758,0.8704911941437646,0.02,0.07400000000000001,0.03974446321598904,0.19636363636363635
20_letter,32,6,uniform_shell,0.3119471947194719,0.9175128149640759,0.06,0.087,0.059244868035190607,0.39215686274509803
20_letter,32,6,disagreement_shell,0.48274827482748267,0.9088298304241005,0.02,0.08699999999999998,0.03768328445747799,0.402555910543131
20_letter,32,6,shell_box_mix,0.3281848184818481,0.9090535184532484,0.03,0.067,0.048885630498533714,0.43450479233226835
20_letter,32,4,normals_only,0.1792139213921392,0.882612054285999,0.08,0.081,0.06640165831051681,0.1927710843373494
20_letter,32,4,uniform_shell,0.30891089108910885,0.9231839534039972,0.1,0.10499999999999998,0.04413123167155424,0.3727598566308244
20_letter,32,4,disagreement_shell,0.4545934593459346,0.9207243730246134,0.1,0.11,0.08043988269794722,0.3873239436619718
20_letter,32,4,shell_box_mix,0.42940294029402937,0.9152404589416478,0.11,0.107,0.053475073313782984,0.35766423357664234
12_fault,27,9,normals_only,0.3321638714744896,0.8645575038479207,0.10401188707280833,0.1540861812778603,0.1649410075186399,0.308
12_fault,27,9,uniform_shell,0.5694271708930485,0.8929139500314487,0.10401188707280833,0.12585438335809807,0.10309971132955384,0.3843137254901961
12_fault,27,9,disagreement_shell,0.6204955004607564,0.8899942148183024,0.0638930163447251,0.099851411589896,0.09928178966071274,0.39223300970873787
12_fault,27,9,shell_box_mix,0.508857867532708,0.8768606902493387,0.0713224368499257,0.13402674591381872,0.08054179112548014,0.46715328467153283
20_letter,32,0,normals_only,-0.19327932793279326,0.8718002992539678,0.05,0.079,0.048524445287447475,0.1951219512195122
20_letter,32,0,uniform_shell,0.4263426342634263,0.9274644755038772,0.11,0.09599999999999997,0.07388929618768328,0.45774647887323944
