dataset,teacher,d,seed,sampler,teacher_auroc,coverage,coverage_wide,radiality,fid,student_auroc,topk
20_letter,kde,32,1,uniform_box,0.93152,1.0,1.0,0.9079147914791479,0.2675547554755475,0.7759,0.52
20_letter,kde,32,1,uniform_shell,0.93152,1.0,1.0,0.9079147914791479,0.16038403840384033,0.32354,0.18
20_letter,kde,32,1,wide_shell,0.93152,1.0,1.0,0.9079147914791479,0.003396339633963396,0.49328000000000005,0.21
20_letter,kde,32,1,multiscale_shell,0.93152,1.0,1.0,0.9079147914791479,0.3428502850285028,0.6374,0.36
20_letter,kde,32,1,shell_box_mix,0.93152,1.0,1.0,0.9079147914791479,0.3418541854185418,0.63454,0.36
12_fault,knn,27,3,normals_only,0.8006092124814266,0.9182763744427934,0.9197622585438335,0.926262844016183,0.48488023169461963,0.70007132243685,0.7964338781575037
12_fault,knn,27,3,gaussian_jitter,0.8006092124814266,0.9182763744427934,0.9197622585438335,0.926262844016183,0.6305910798453269,0.7544665676077267,0.8335809806835067
12_fault,knn,27,3,uniform_box,0.8006092124814266,0.9182763744427934,0.9197622585438335,0.926262844016183,0.593948588976995,0.7421248142644873,0.8231797919762258
12_fault,knn,27,3,uniform_shell,0.8006092124814266,0.9182763744427934,0.9197622585438335,0.926262844016183,0.5753055148408895,0.7354977711738484,0.8023774145616642
12_fault,knn,27,3,wide_shell,0.8006092124814266,0.9182763744427934,0.9197622585438335,0.926262844016183,0.5303530722653654,0.7320505200594354,0.7845468053491828
12_fault,knn,27,3,multiscale_shell,0.8006092124814266,0.9182763744427934,0.9197622585438335,0.926262844016183,0.4249518693858115,0.6990163447251114,0.7815750371471025
12_fault,knn,27,3,shell_box_mix,0.8006092124814266,0.9182763744427934,0.9197622585438335,0.926262844016183,0.6798791357054988,0.7403536404160476,0.8469539375928677
12_fault,knn,27,6,normals_only,0.8159138187221395,0.8989598811292719,0.9019316493313522,0.9022733192156498,0.5912120411411641,0.7433075780089154,0.8320950965824666
12_fault,knn,27,6,gaussian_jitter,0.8159138187221395,0.8989598811292719,0.9019316493313522,0.9022733192156498,0.7353777965831596,0.7593551263001486,0.8424962852897474
12_fault,knn,27,6,uniform_box,0.8159138187221395,0.8989598811292719,0.9019316493313522,0.9022733192156498,0.6665771582639785,0.7586508172362556,0.8395245170876672
12_fault,knn,27,6,uniform_shell,0.8159138187221395,0.8989598811292719,0.9019316493313522,0.9022733192156498,0.7325936141626991,0.7745824665676077,0.8558692421991084
12_fault,knn,27,6,wide_shell,0.8159138187221395,0.8989598811292719,0.9019316493313522,0.9022733192156498,0.6394159574756221,0.7608766716196137,0.8350668647845468
12_fault,knn,27,6,multiscale_shell,0.8159138187221395,0.8989598811292719,0.9019316493313522,0.9022733192156498,0.6516056476823295,0.7661693907875186,0.849925705794948
